Date,gross_return,transaction_cost,net_return,signal,beta,weight_rf,weight_schw,alpha,innovation,innovation_std,z_score
2022-11-17,0.010740375862909397,0.0005,0.010240375862909396,0.0,0.9835450176141718,-0.5041478721782732,0.4958521278217269,-1.2733288110722654,-0.012748242582186986,0.021503981952832884,-0.5928317188020874
2022-11-18,-0.0,0.0005,-0.0005,1.0,0.9829755151554433,0.0,-0.0,-1.2721849748074987,-0.029771143974982373,0.02151260749532822,-1.3838928628920328
2022-11-21,-0.0007300179283028308,0.0,-0.0007300179283028308,1.0,0.9824061602962276,0.5044374962245738,-0.4955625037754263,-1.2710460519318687,-0.029896086248015763,0.021512634900416872,-1.3896989553537413
2022-11-22,-0.004389724615220926,0.0,-0.004389724615220926,1.0,0.9816267688299782,0.5046358959868286,-0.4953641040131715,-1.2693315971823311,-0.03727783097232962,0.021518360169677207,-1.7323732235349427
2022-11-23,0.0008659587441937726,0.0,0.0008659587441937726,1.0,0.9809268169373654,0.5048142068903189,-0.4951857931096811,-1.2678075923761416,-0.033887332529101144,0.021517894631815627,-1.5748442451705515
2022-11-25,0.0016639520371994091,0.0,0.0016639520371994091,1.0,0.9803307534812695,0.5049661518622971,-0.4950338481377029,-1.2665175240216628,-0.029071102976418572,0.021517745373196027,-1.351029230628945
2022-11-28,0.003574009909864678,0.0,0.003574009909864678,1.0,0.9799836702143163,0.505054670421478,-0.49494532957852194,-1.2659243530279074,-0.02068122345893597,0.021507832801766182,-0.9615670555723155
2022-11-29,0.004764493814197218,0.0,0.004764493814197218,1.0,0.9798029595769349,0.5051007703381202,-0.4948992296618798,-1.2655972366585908,-0.01033903063190511,0.021509861603513668,-0.4806646747655603
2022-11-30,-0.006486043079362778,0.0,-0.006486043079362778,1.0,0.9793264694668841,0.505222364994362,-0.49477763500563804,-1.2645424271588355,-0.022732460209983874,0.021520039325032263,-1.0563391575005774
2022-12-01,6.594524275334128e-05,0.0,6.594524275334128e-05,1.0,0.9789165082858754,0.5053270291156414,-0.4946729708843586,-1.263719316021523,-0.021572247968408398,0.02151456747007913,-1.0026809973479358
2022-12-02,-0.0006741797928666738,0.0,-0.0006741797928666738,1.0,0.9784806050960148,0.5054383638759352,-0.49456163612406473,-1.2628014663633875,-0.021947133679740993,0.021517348121072952,-1.0199739092498639
2022-12-05,-0.0190767278424288,0.0,-0.0190767278424288,1.0,0.9774695179593397,0.5056967962934547,-0.49430320370654546,-1.2609998874990547,-0.05867071723269257,0.021510416597160905,-2.7275490908175315
2022-12-06,-0.004855166927274156,0.0,-0.004855166927274156,1.0,0.9764369708393499,0.505960986742381,-0.494039013257619,-1.259402798560653,-0.06566131734312464,0.02150700999480754,-3.053019334578694
2022-12-07,0.006931383444138385,0.0,0.006931383444138385,1.0,0.9757140573864402,0.5061461177853049,-0.493853882214695,-1.258416105341249,-0.049076697126573254,0.021505028031228866,-2.282103378582244
2022-12-08,0.010532897164023369,0.0,0.010532897164023369,1.0,0.9753324509745924,0.5062438980874427,-0.4937561019125573,-1.257904407464132,-0.02612215667750739,0.021505020694180508,-1.2147003738794975
2022-12-09,0.001733526867392055,0.0,0.001733526867392055,1.0,0.9750391568541219,0.5063190755128207,-0.49368092448717926,-1.2575737875763857,-0.021553040281662383,0.02150316941878043,-1.002319233128415
2022-12-12,0.005539380776790261,0.0,0.005539380776790261,1.0,0.9749010459389722,0.5063544839658268,-0.4936455160341731,-1.257397956566987,-0.009673972426855304,0.021504794512653667,-0.4498518886643175
2022-12-13,-0.0011509787566165233,0.0,-0.0011509787566165233,1.0,0.9747924714167706,0.5063823234461555,-0.4936176765538445,-1.257426017734357,-0.011520046584641008,0.021496465167463424,-0.5359042286672088
2022-12-14,-0.00981513214974559,0.0,-0.00981513214974559,1.0,0.9745301079906372,0.5064496084172861,-0.4935503915827138,-1.2576033264125417,-0.030403231011757903,0.021495599580781604,-1.414393252791156
2022-12-15,-0.00558458340510139,0.0,-0.00558458340510139,1.0,0.9742017861560553,0.506533834085465,-0.493466165914535,-1.257914084072968,-0.04012150503599532,0.02149522420950834,-1.866531125469615
2022-12-16,-0.013055902286118274,0.0,-0.013055902286118274,1.0,0.9735376712204787,0.5067042877279248,-0.4932957122720753,-1.257822299012622,-0.06417574760863509,0.021498369726412603,-2.9851448470434314
2022-12-19,5.101284424091136e-05,0.0,5.101284424091136e-05,1.0,0.9728974595398989,0.506868714927136,-0.4931312850728639,-1.2577105997745177,-0.06130372147453622,0.021498669750255422,-2.8515123115376886
2022-12-20,-0.005419874503355207,0.0,-0.005419874503355207,1.0,0.9720107927980133,0.5070966161301464,-0.4929033838698535,-1.2568952427213855,-0.06935683890332278,0.021502859666390907,-3.225470471340513
2022-12-21,-0.002333593480507462,0.0,-0.002333593480507462,1.0,0.9708988035784396,0.5073827221287879,-0.49261727787121207,-1.255190272878836,-0.0709560348794045,0.021509132709317383,-3.2988794033832693
2022-12-22,0.0036988310644770904,0.0,0.0036988310644770904,1.0,0.9700152411273125,0.5076102860137085,-0.49238971398629156,-1.2540115328616885,-0.060531628432026974,0.02150686418969563,-2.8145259996122025
2022-12-23,-0.0025108682379268677,0.0,-0.0025108682379268677,1.0,0.9690045285775026,0.5078708481805498,-0.49212915181945016,-1.2523891408783563,-0.06282730421940341,0.021510441638850533,-2.9207816963613378
2022-12-27,0.0025409310310607063,0.0,0.0025409310310607063,1.0,0.9680917866167412,0.5081063834522959,-0.4918936165477041,-1.250851064609683,-0.055050361931086034,0.02151181942461217,-2.559075122585942
2022-12-28,-0.005301713048306392,0.0,-0.005301713048306392,1.0,0.9670524047196899,0.5083748646455113,-0.4916251353544886,-1.2491131584775985,-0.06303710615652935,0.021511772458949762,-2.9303538923545736
2022-12-29,0.006932468618446336,0.0,0.006932468618446336,1.0,0.9662734202484667,0.5085762690489076,-0.4914237309510924,-1.2477826939300145,-0.046610996724244735,0.021512516440499126,-2.1666919745611724
2022-12-30,-0.004966604695894552,0.0,-0.004966604695894552,1.0,0.9653273023520066,0.5088211000799966,-0.49117889992000346,-1.2460672059239,-0.054306929279287264,0.021514530736943947,-2.524197712852432
2023-01-03,0.005717948317212369,0.0,0.005717948317212369,1.0,0.9647266129205991,0.5089766654677127,-0.4910233345322873,-1.2452401770959505,-0.040639400588524666,0.021508330749535867,-1.8894725519041795
