Date,RF,SCHW
2022-03-25,19.73578643798828,86.38286590576172
2022-03-28,19.39057731628418,86.79891204833984
2022-03-29,19.558975219726562,86.25049591064453
2022-03-30,19.07062530517578,83.92452239990234
2022-03-31,18.742258071899414,79.71693420410156
2022-04-01,18.07710075378418,78.98889923095703
2022-04-04,18.07710075378418,77.81644439697266
2022-04-05,17.950803756713867,77.40039825439453
2022-04-06,17.529821395874023,76.46434020996094
2022-04-07,17.193031311035156,75.67010498046875
2022-04-08,17.470884323120117,77.23967742919922
2022-04-11,17.799253463745117,77.13566589355469
2022-04-12,17.529821395874023,75.70790100097656
2022-04-13,17.6224365234375,79.26307678222656
2022-04-14,17.45404052734375,78.24191284179688
2022-04-18,17.614017486572266,70.85741424560547
2022-04-19,18.253915786743164,72.71062469482422
2022-04-20,18.498085021972656,72.2851333618164
2022-04-21,18.136037826538086,69.27835845947266
2022-04-22,17.992900848388672,66.48908996582031
2022-04-25,18.186559677124023,66.47962951660156
2022-04-26,17.69821548461914,64.80606079101562
2022-04-27,17.908710479736328,64.8438949584961
2022-04-28,17.967647552490234,65.3544692993164
2022-04-29,17.445619583129883,62.71644973754883
2022-05-02,17.731889724731445,64.19146728515625
2022-05-03,18.144458770751953,65.67593383789062
2022-05-04,18.565444946289062,67.47244262695312
2022-05-05,18.06026268005371,66.04469299316406
2022-05-06,17.78240966796875,63.7470817565918
2022-05-09,17.319326400756836,60.63631057739258
2022-05-10,16.999380111694336,61.061798095703125
2022-05-11,16.856243133544922,61.57236862182617
2022-05-12,16.687849044799805,61.60082244873047
2022-05-13,16.738367080688477,62.22679138183594
2022-05-16,16.603654861450195,60.737754821777344
2022-05-17,17.378265380859375,61.837928771972656
2022-05-18,16.78046417236328,60.00746154785156
2022-05-19,16.856243133544922,59.428916931152344
2022-05-20,16.9656982421875,60.01694107055664
2022-05-23,17.445619583129883,61.904327392578125
2022-05-24,17.20145606994629,60.64291763305664
2022-05-25,17.82451057434082,62.4069938659668
2022-05-26,18.19497299194336,65.27127075195312
2022-05-27,18.422311782836914,66.94998931884766
2022-05-31,18.599124908447266,66.48526000976562
2022-06-01,18.19497299194336,65.98258972167969
2022-06-02,18.576868057250977,67.97430419921875
2022-06-03,18.45805549621582,66.45680236816406
2022-06-06,18.483516693115234,64.55046081542969
2022-06-07,18.670217514038086,64.00985717773438
2022-06-08,18.500490188598633,62.340614318847656
2022-06-09,17.897951126098633,60.93692398071289
2022-06-10,17.09173583984375,59.01161193847656
2022-06-13,16.4976806640625,57.13370132446289
2022-06-14,16.421306610107422,57.958839416503906
2022-06-15,16.446765899658203,58.338218688964844
2022-06-16,15.742390632629395,57.72173309326172
2022-06-17,15.869688034057617,56.8965950012207
2022-06-21,16.200660705566406,59.163352966308594
2022-06-22,16.183685302734375,59.22025680541992
2022-06-23,15.632063865661621,58.831398010253906
2022-06-24,16.540117263793945,61.107643127441406
2022-06-27,16.421306610107422,60.84208679199219
2022-06-28,16.489200592041016,60.861053466796875
2022-06-29,16.32795524597168,60.33940505981445
2022-06-30,15.912117004394531,59.92209243774414
2022-07-01,16.149738311767578,60.623939514160156
2022-07-05,15.996981620788574,60.12126922607422
2022-07-06,15.750874519348145,60.1686897277832
2022-07-07,16.158226013183594,60.927433013916016
2022-07-08,16.141250610351562,61.0412483215332
2022-07-11,16.166711807250977,59.69447326660156
2022-07-12,16.098819732666016,59.0400505065918
2022-07-13,15.818765640258789,58.37615203857422
2022-07-14,15.4793062210083,57.446678161621094
2022-07-15,16.285524368286133,58.973663330078125
2022-07-18,16.514659881591797,58.08214569091797
2022-07-19,17.00687026977539,59.94106674194336
2022-07-20,17.20206069946289,59.590152740478516
2022-07-21,17.28692626953125,59.87467956542969
2022-07-22,17.52454376220703,59.74190139770508
2022-07-25,18.067684173583984,60.377349853515625
2022-07-26,17.499086380004883,58.0157470703125
2022-07-27,17.965843200683594,59.28664779663086
2022-07-28,17.75368309020996,64.20902252197266
2022-07-29,17.974334716796875,65.4894027709961
2022-08-01,17.92340850830078,65.17643737792969
2022-08-02,17.67729949951172,64.0667724609375
2022-08-03,17.94887351989746,65.42303466796875
2022-08-04,17.83854866027832,65.4419937133789
2022-08-05,18.11859703063965,65.73600006103516
2022-08-08,18.04222297668457,64.92034912109375
2022-08-09,18.211946487426758,65.47994232177734
2022-08-10,18.85692024230957,66.33351135253906
2022-08-11,19.213350296020508,69.04508209228516
2022-08-12,19.484922409057617,71.35704803466797
2022-08-15,19.442487716674805,72.17528533935547
2022-08-16,19.663135528564453,73.43116760253906
2022-08-17,19.38308334350586,71.79471588134766
2022-08-18,19.484922409057617,72.07062530517578
2022-08-19,19.17940902709961,70.2724380493164
2022-08-22,18.763568878173828,69.02605438232422
2022-08-23,18.7126522064209,69.25440216064453
2022-08-24,18.772058486938477,69.75865173339844
2022-08-25,19.111513137817383,70.4056167602539
2022-08-26,18.64476203918457,68.39811706542969
2022-08-29,18.44957160949707,68.44568634033203
2022-08-30,18.407140731811523,68.97848510742188
2022-08-31,18.39016342163086,67.50377655029297
2022-09-01,18.31307601928711,68.23637390136719
2022-09-02,18.2274227142334,66.92339324951172
2022-09-06,17.99615478515625,67.04708862304688
2022-09-07,18.458690643310547,68.30297088623047
2022-09-08,19.024015426635742,69.6064224243164
2022-09-09,19.024015426635742,70.91940307617188
2022-09-12,19.23815155029297,71.28092956542969
2022-09-13,18.57004165649414,69.40662384033203
2022-09-14,18.95549201965332,69.21633911132812
2022-09-15,19.22102165222168,69.05460357666016
2022-09-16,18.7841796875,68.37908172607422
2022-09-19,19.04970932006836,70.12970733642578
2022-09-20,19.006885528564453,69.78720092773438
2022-09-21,18.732789993286133,69.36858367919922
2022-09-22,18.25312042236328,68.55985260009766
2022-09-23,17.884798049926758,67.44670104980469
2022-09-26,17.722057342529297,67.44670104980469
2022-09-27,17.482223510742188,68.15074920654297
2022-09-28,17.52505111694336,69.69205474853516
2022-09-29,17.019681930541992,69.11167907714844
2022-09-30,17.190996170043945,68.37908172607422
2022-10-03,17.57644271850586,69.65399932861328
2022-10-04,18.330211639404297,72.51780700683594
2022-10-05,18.133201599121094,72.24188995361328
2022-10-06,17.824844360351562,72.2989730834961
2022-10-07,17.5164852142334,70.70057678222656
2022-10-10,17.353736877441406,69.98699951171875
2022-10-11,17.036813735961914,68.22686767578125
2022-10-12,16.788414001464844,68.39811706542969
2022-10-13,17.884798049926758,70.47223663330078
2022-10-14,17.713491439819336,65.62946319580078
2022-10-17,18.20172691345215,64.15475463867188
2022-10-18,18.552915573120117,65.2774429321289
2022-10-19,17.901931762695312,65.37257385253906
2022-10-20,16.90833282470703,64.69706726074219
2022-10-21,16.71988868713379,66.90436553955078
2022-10-24,17.602140426635742,67.26591491699219
2022-10-25,18.18459129333496,68.94043731689453
2022-10-26,18.23598861694336,69.40662384033203
2022-10-27,18.458690643310547,73.57388305664062
2022-10-28,18.71565818786621,76.29496002197266
2022-10-31,18.801311492919922,75.80022430419922
2022-11-01,19.101102828979492,76.00952911376953
2022-11-02,18.71565818786621,75.0961685180664
2022-11-03,18.8355770111084,75.11518096923828
2022-11-04,19.23815155029297,75.21034240722656
2022-11-07,19.5465087890625,75.78118133544922
2022-11-08,19.555076599121094,75.76216125488281
2022-11-09,19.23815155029297,74.67452239990234
2022-11-10,19.940526962280273,74.95121765136719
2022-11-11,20.0518741607666,74.76041412353516
2022-11-14,19.623600006103516,72.95722961425781
2022-11-15,19.812042236328125,74.70317077636719
2022-11-16,19.43515968322754,73.85403442382812
2022-11-17,19.143936157226562,74.321533203125
2022-11-18,19.263851165771484,76.14379119873047
2022-11-21,19.280977249145508,76.3250503540039
