Ticker,sector,alpha,beta_mkt,beta_smb,beta_hml,r_squared,observations
APTV,Consumer Cyclical,-2.255297790824367e-05,1.3061333998277318,0.6200868665468364,0.37906963968361307,0.4644393264772292,3421
AVY,Consumer Cyclical,8.548222701644585e-05,0.9943454315487229,0.03260339186554771,0.32880260245438864,0.46315723885418214,3895
AZO,Consumer Cyclical,0.0005550997690929124,0.6037184915961948,-0.09873146327832669,0.08410018037782441,0.20993519805934047,3895
BALL,Consumer Cyclical,6.326037497768962e-05,0.8127815818316665,-0.04898703360950189,0.007703703637798265,0.3225741755109698,3895
BBWI,Consumer Cyclical,0.00016381052367873936,1.1680528827515797,0.6614068751561142,0.41349782386290923,0.2860606973503462,3895
BBY,Consumer Cyclical,1.2718085263769456e-05,1.0192955659610157,0.4048156033359555,0.156695413788094,0.2562754229002814,3895
BKNG,Consumer Cyclical,0.00043704324423673443,1.1021271525926937,0.12427649621462722,0.08508937846505972,0.37708206499542185,3895
CCL,Consumer Cyclical,-0.00021429704159021105,1.44318149011625,0.7137503019823265,0.7206303291002227,0.3839973580159659,3895
CMG,Consumer Cyclical,0.0006070734907176838,0.8656228500196069,0.2533395768081173,-0.37693671060940714,0.24679617213992178,3895
DECK,Consumer Cyclical,0.0005244326097381988,1.0967466569605147,0.7930085340927159,-0.0655876666028844,0.2841712408277598,3895
DHI,Consumer Cyclical,0.0003444472240117833,1.0732187057625144,0.4995239078325353,0.10903734538692274,0.3496855641692047,3895
DPZ,Consumer Cyclical,0.0008375078331646609,0.6734331441354267,0.26254760658090026,-0.27906986941435036,0.20460713623911286,3895
DRI,Consumer Cyclical,0.00032134789424562084,0.9522257444411358,0.28125778054571776,0.4022863261761259,0.3364400257248008,3895
EBAY,Consumer Cyclical,0.0001904416370292203,0.9006643486034834,0.09350763471199351,-0.18763229115395041,0.30913329261743117,3895
EXPE,Consumer Cyclical,0.0001544820520616874,1.1541558887495602,0.45942212149616457,0.1443569834472277,0.27846636683940595,3895
F,Consumer Cyclical,-0.00016272121626895191,1.1197177151593156,0.42211393051230417,0.6519960019498364,0.4522058019967232,3895
GM,Consumer Cyclical,-0.00018572521209818366,1.1587513423226419,0.41040399725353394,0.6654404916675475,0.4602082426925228,3673
GPC,Consumer Cyclical,7.04636683084427e-05,0.8703197693164535,0.14347485011770877,0.4443966304136608,0.45963297712076645,3895
HAS,Consumer Cyclical,3.6689195708553205e-05,0.8702865204952598,0.20562313531982096,0.1510693449615534,0.2881855637324232,3895
HD,Consumer Cyclical,0.00033366697614839485,0.9062692165683417,-0.0026829906831015615,0.009683134687991134,0.49066121796197015,3895
IP,Consumer Cyclical,-6.2783998874152e-05,1.065385594662619,0.19951250493943348,0.6366525355515008,0.47994422256895275,3895
KMX,Consumer Cyclical,-6.256349806038578e-05,1.1097714767754072,0.5083551739323356,0.28827096928869445,0.3735353199159849,3895
LEN,Consumer Cyclical,0.0002574665005649858,1.14595728435896,0.570013020562696,0.21551922509725674,0.37920872393690774,3895
LKQ,Consumer Cyclical,1.597591115818059e-05,1.0409710173913833,0.3362047855251155,0.5183924238708888,0.4362481945583585,3895
